event_id,name_clean,url,starts_at,start_year,start_month,start_dow,start_hour,season,is_weekend,holiday,category,city,price,is_free,ad_budget,capacity,lead_days,registrations,participants
1106638,Первоклассник в развивающем обучении,https://np-avtorskiy-klub.timepad.ru/event/1106638/,2019-11-03T14:00:00+0300,2019,11,6,11,autumn,1,0,Другие события,Другие,350,0,4433,33,34,29,24
1106660,"Онлайн курс «Таро Книга Теней», I ступень",https://drevo-mira-event.timepad.ru/event/1106660/,2019-11-01T00:00:00+0300,2019,10,3,21,autumn,0,0,Психология и самопознание,Другие,0,1,3320,37,11,32,24
1106678,"Онлайн курс «Таро Книга Теней», III ступень",https://drevo-mira-event.timepad.ru/event/1106678/,2019-11-01T00:00:00+0300,2019,10,3,21,autumn,0,0,Психология и самопознание,Москва,1150,0,3434,53,26,47,37
1106686,Фантазия-шутка «Ничего на свете лучше нету» по мотивам мультфильма «Бременские музыканты»,https://myhistoryperm--events.timepad.ru/event/1106686/,2019-11-03T20:30:00+0300,2019,11,6,17,autumn,1,0,Театры,Казань,800,0,17720,116,74,112,93
1106727,Culture Café: Ecuador,https://esn-hse-moscow.timepad.ru/event/1106727/,2019-11-06T18:30:00+0300,2019,11,2,15,autumn,0,0,Другие события,Москва,600,0,4335,56,28,52,43
1106745,"Психологическая трансформационная игра ""Женское счастье""",https://pmkmozaika.timepad.ru/event/1106745/,2019-11-05T17:00:00+0300,2019,11,1,14,autumn,0,0,Психология и самопознание,Москва,0,1,5172,55,22,56,37
1106746,Открытие магазина Меха Елизаветы,https://meha-elizavety.timepad.ru/event/1106746/,2019-11-02T14:00:00+0300,2019,11,5,11,autumn,1,0,Выставки,Другие,200,0,11193,138,63,119,96
1106761,"Психологическая трансформационная игра для мужчин ""Перезагрузка""",https://pmkmozaika.timepad.ru/event/1106761/,2019-11-05T17:00:00+0300,2019,11,1,14,autumn,0,0,Психология и самопознание,Другие,750,0,3390,20,21,16,15
1106774,Вкус имеет значение,https://kinoklub-valeriya-shanina.timepad.ru/event/1106774/,2019-11-07T19:00:00+0300,2019,11,3,16,autumn,0,0,Кино,Другие,250,0,4691,34,15,32,28
1106809,"English Club: киносеансы на английском с обсуждением (Coco 6+, Jumanji 12+)",https://antikafe-zhuchki-pauchki.timepad.ru/event/1106809/,2019-11-03T00:00:00+0300,2019,11,5,21,autumn,1,0,Иностранные языки,Санкт-Петербург,650,0,5715,36,15,35,30
1106838,Концерт импровизационной музыки от Алексея Морозова и Samba Real,https://samba-real.timepad.ru/event/1106838/,2019-11-03T19:00:00+0300,2019,11,6,16,autumn,1,0,Концерты,Санкт-Петербург,1600,0,25045,274,75,202,181
1106840,Экскурсия в Ячейку F и Дом Гинзбурга,https://flatunitf.timepad.ru/event/1106840/,2019-11-03T14:00:00+0300,2019,11,6,11,autumn,1,0,Экскурсии и путешествия,Казань,1050,0,3948,43,30,33,30
1106843,Мастер-класс для детей «Домашнее тепло»,https://spb-energy.timepad.ru/event/1106843/,2019-11-02T12:00:00+0300,2019,11,5,9,autumn,1,0,Для детей,Москва,600,0,4979,55,16,47,41
1106846,Лекция Дениса Серикова «Как создать популярный медиапродукт»,https://hsscm-mgu.timepad.ru/event/1106846/,2019-11-07T12:55:00+0300,2019,11,3,9,autumn,0,0,Искусство и культура,Москва,0,1,19976,135,19,179,103
1106856,Кто живет в далёких джунглях? Творческая мастерская Ани Стёпиной,https://zilcc.timepad.ru/event/1106856/,2019-11-05T17:00:00+0300,2019,11,1,14,autumn,0,0,Для детей,Казань,500,0,2102,23,30,19,17
1106865,"Кинопоказ, рассказ, обсуждение фильма ""Рок-волна""",https://posredstvennyy-kinoklub.timepad.ru/event/1106865/,2019-11-07T19:00:00+0300,2019,11,3,16,autumn,0,0,Кино,Москва,450,0,13072,86,23,80,68
1106883,Stand-Up Открытый Микрофон в Crafter,https://comedyfree.timepad.ru/event/1106883/,2019-11-04T19:30:00+0300,2019,11,0,16,autumn,0,1,Другие развлечения,Другие,0,1,2993,29,30,39,24
1106890,Менеджмент в креативном бизнесе и рекламе,https://tele2-event.timepad.ru/event/1106890/,2019-11-05T19:00:00+0300,2019,11,1,16,autumn,0,0,Другие события,Санкт-Петербург,500,0,6357,41,12,34,30
1106922,Ночь искусств - 2019. Город вокруг нас.,https://gbuk-g-moskvy-tsbs-yu-gal.timepad.ru/event/1106922/,2019-11-03T17:00:00+0300,2019,11,6,14,autumn,1,0,Искусство и культура,Другие,0,1,5560,82,16,123,69
1106933,Завтрак для предпринимателей в IKEA. Нетворкинг.,https://verislav.timepad.ru/event/1106933/,2019-11-06T09:00:00+0300,2019,11,2,6,autumn,0,0,Бизнес,Другие,0,1,2615,35,29,40,26
1106937,ПУТЕШЕСТВИЕ КАК СПОСОБ ТРАНСФОРМАЦИИ,https://travellibrary.timepad.ru/event/1106937/,2019-11-08T19:00:00+0300,2019,11,4,16,autumn,0,0,Экскурсии и путешествия,Санкт-Петербург,0,1,5633,33,8,46,29
1106950,Кураторская экскурсия «Реконструкция книжного собрания князя Н. Б. Юсупова: первые итоги и полезные уроки»,https://leninka.timepad.ru/event/1106950/,2019-11-06T18:00:00+0300,2019,11,2,15,autumn,0,0,Искусство и культура,Другие,250,0,5044,76,28,67,53
1106959,Product Mindset Kyiv Meetup #3 | Генерация и проверка гипотез,https://product-mindset-kyiv.timepad.ru/event/1106959/,2019-11-05T19:30:00+0300,2019,11,1,16,autumn,0,0,ИТ и интернет,Другие,350,0,4383,37,9,29,27
1106970,ПСИХОЛОГИЧЕСКИЙ КИНОКЛУБ С НАТАЛЬЕЙ НИСМАН,https://bukvodom-v-parke-sokolnik.timepad.ru/event/1106970/,2019-11-03T17:00:00+0300,2019,11,6,14,autumn,1,0,Кино,Санкт-Петербург,450,0,13141,80,18,77,69
1106991,Читаем для собачки Аси,https://detilibfl.timepad.ru/event/1106991/,2019-11-05T17:00:00+0300,2019,11,1,14,autumn,0,0,Для детей,Москва,0,1,7179,57,28,54,39
1107022,Спектакль-шутка «Предложение» по мотивам одноименной пьесы А. П. Чехова,https://myhistoryperm--events.timepad.ru/event/1107022/,2019-11-03T18:00:00+0300,2019,11,6,15,autumn,1,0,Театры,Другие,500,0,11749,96,66,82,73
1107026,Кем быть или не быть? Владимир Определенов,https://artsmuseum.timepad.ru/event/1107026/,2019-11-07T18:30:00+0300,2019,11,3,15,autumn,0,0,Искусство и культура,Москва,0,1,10325,168,47,165,108
1107046,Просмотр фильма «Призрак оперы» (2004),https://tsentr-kulturno-prosvetit.timepad.ru/event/1107046/,2019-11-03T15:00:00+0300,2019,11,6,12,autumn,1,0,Искусство и культура,Москва,400,0,24066,160,21,163,135
1107071,Opening Party Svalka,https://svalkasamara.timepad.ru/event/1107071/,2019-11-07T19:00:00+0300,2019,11,3,16,autumn,0,0,Вечеринки,Москва,1350,0,10729,101,55,89,78
1107075,"Егор Апполонов, Григорий Служитель и Ольга Брейнингер в Московском Доме Книги",https://mos-dom-knigy-events.timepad.ru/event/1107075/,2019-11-02T17:00:00+0300,2019,11,5,14,autumn,1,0,Искусство и культура,Другие,300,0,10771,117,16,91,76
1107346,Саидмурод Давлатов в Московском Доме Книги,https://mos-dom-knigy-events.timepad.ru/event/1107346/,2019-11-03T11:00:00+0300,2019,11,6,8,autumn,1,0,Искусство и культура,Другие,0,1,6268,70,28,85,59
1107348,Турецкая операция в Сирии: война или источник мира?,https://fond-gorchakova.timepad.ru/event/1107348/,2019-11-06T18:00:00+0300,2019,11,2,15,autumn,0,0,Другие события,Другие,0,1,2285,46,30,46,29
1107521,"С 1 по 24 ноября 2019 г. Выставка ""Эрмитаж в Галерее. Занимательные истории о князе Потёмкине""",https://galeriaspb.timepad.ru/event/1107521/,2019-11-01T11:00:00+0300,2019,11,4,8,autumn,0,0,Выставки,Другие,0,1,17782,132,38,135,99
1107522,Всероссийская акция «Ночь искусств» в Московском Доме Книги,https://mos-dom-knigy-events.timepad.ru/event/1107522/,2019-11-03T18:00:00+0300,2019,11,6,15,autumn,1,0,Искусство и культура,Казань,0,1,6968,113,20,163,94
1107527,Как исцелить свой дух?,https://essaspb.timepad.ru/event/1107527/,2019-11-06T19:00:00+0300,2019,11,2,16,autumn,0,0,Психология и самопознание,Новосибирск,800,0,2655,29,29,23,19
1107561,"Раздражение. Простые и сложные чувства - Третье занятие цикла вебинаров ""Управление эмоциями""",https://zvezdnyy-port.timepad.ru/event/1107561/,2019-11-06T20:00:00+0300,2019,11,2,17,autumn,0,0,Психология и самопознание,Москва,750,0,3166,44,24,34,32
1107573,"Квест-путешествие ""Чистая Планета"" в рамках Дня экологии в Нелжа Ру",https://nelzharu.timepad.ru/event/1107573/,2019-11-02T14:30:00+0300,2019,11,5,11,autumn,1,0,Экскурсии и путешествия,Москва,1450,0,7093,74,19,61,48
1107574,"Квест-путешествие ""Чистая Планета"" в рамках Дня экологии в Нелжа Ру",https://nelzharu.timepad.ru/event/1107574/,2019-11-02T15:00:00+0300,2019,11,5,12,autumn,1,0,Экскурсии и путешествия,Другие,900,0,2854,29,22,28,24
1107575,"Квест-путешествие ""Чистая Планета"" в рамках Дня экологии в Нелжа Ру",https://nelzharu.timepad.ru/event/1107575/,2019-11-02T15:30:00+0300,2019,11,5,12,autumn,1,0,Экскурсии и путешествия,Казань,900,0,4824,29,9,26,24
1107576,"Квест-путешествие ""Чистая Планета"" в рамках Дня экологии в Нелжа Ру",https://nelzharu.timepad.ru/event/1107576/,2019-11-02T16:00:00+0300,2019,11,5,13,autumn,1,0,Экскурсии и путешествия,Новосибирск,1100,0,5911,47,33,39,31
1107577,"Квест-путешествие ""Чистая Планета"" в рамках Дня экологии в Нелжа Ру",https://nelzharu.timepad.ru/event/1107577/,2019-11-02T16:30:00+0300,2019,11,5,13,autumn,1,0,Экскурсии и путешествия,Другие,0,1,2470,35,40,39,25
1107579,"Выступление ансамбля ""Узоры"" в Историческом парке",https://myhistoryperm--events.timepad.ru/event/1107579/,2019-11-04T14:00:00+0300,2019,11,0,11,autumn,0,1,Концерты,Омск,1150,0,11878,74,48,69,63
1107619,Фестиваль интерьера и дизайна,https://expostroy-na-nakhimovskom.timepad.ru/event/1107619/,2019-10-01T10:00:00+0300,2019,10,1,7,autumn,0,0,Другие события,Екатеринбург,450,0,5708,30,23,24,20
1107677,"Экскурсия по экологической тропе ""Марьина роща""",https://ekotsentr-dront.timepad.ru/event/1107677/,2019-11-06T11:00:00+0300,2019,11,2,8,autumn,0,0,Экскурсии и путешествия,Екатеринбург,700,0,3561,21,25,18,15
1107681,Волшебная суббота в компании друзей,https://molodezhnyy-tsentr-sreda.timepad.ru/event/1107681/,2019-11-02T10:00:00+0300,2019,11,5,7,autumn,1,0,Для детей,Санкт-Петербург,0,1,7165,85,26,84,56
1107686,Вечер инструментальной музыки,https://obraztsovaculturalcentre.timepad.ru/event/1107686/,2019-11-06T19:00:00+0300,2019,11,2,16,autumn,0,0,Концерты,Москва,2000,0,36484,252,34,201,177
1107696,"Полезный завтрак Опоры России. Наталия Брагина, Москва. Лучший сервис для ваших клиентов",https://opora-rossii-saratov.timepad.ru/event/1107696/,2019-11-07T10:00:00+0300,2019,11,3,7,autumn,0,0,Бизнес,Санкт-Петербург,0,1,6308,48,38,50,31
1107698,"Короткий метр Алехандро. ""Секта. Холостяцкая халупа"".",https://valensio.timepad.ru/event/1107698/,2019-11-05T20:00:00+0300,2019,11,1,17,autumn,0,0,Театры,Москва,1400,0,25763,98,91,89,81
1107721,"Встреча ""Как эффективно читать книги""",https://sd-training.timepad.ru/event/1107721/,2019-11-07T19:00:00+0300,2019,11,3,16,autumn,0,0,Наука,Санкт-Петербург,0,1,10302,88,20,100,68
1107737,Расстановки практика в группе для всех интересующихся методом и специалистов любого уровня.,https://rasstanovkiblog.timepad.ru/event/1107737/,2019-11-04T12:00:00+0300,2019,11,0,9,autumn,0,1,Психология и самопознание,Другие,0,1,1967,12,28,12,8
1107760,Инвестиции в доходную недвижимость Германии. Основы  и  секреты.,https://bundesinvestgroup.timepad.ru/event/1107760/,2019-11-06T10:00:00+0300,2019,11,2,7,autumn,0,0,Бизнес,Москва,2700,0,4845,34,18,34,29
1107766,Спектакль «Мост через холод»,https://revoltcenter.timepad.ru/event/1107766/,2019-11-04T17:00:00+0300,2019,11,0,14,autumn,0,1,Театры,Москва,1100,0,21375,85,102,75,60
1107768,"Игра ""Денежный поток"" Роберта Кийосаки с практиком бизнеса и инвестиций",https://ip-sidorin-artem-igorevic.timepad.ru/event/1107768/,2019-11-07T19:00:00+0300,2019,11,3,16,autumn,0,0,Интеллектуальные игры,Москва,700,0,7380,43,22,43,35
1107814,Как найти свое дело по душе,https://stanislava-yakovleva.timepad.ru/event/1107814/,2019-11-04T18:30:00+0300,2019,11,0,15,autumn,0,1,Психология и самопознание,Москва,1050,0,5154,19,11,20,17
1107817,"Лекция ""Крайний Север: экология религии""",https://arhe-events.timepad.ru/event/1107817/,2019-11-04T17:00:00+0300,2019,11,0,14,autumn,0,1,Наука,Другие,150,0,5053,27,85,24,20
1107819,"Лекция ""Реализм, Концептуализм, Номинализм — суть полемики""",https://arhe-events.timepad.ru/event/1107819/,2019-11-08T19:30:00+0300,2019,11,4,16,autumn,0,0,Наука,Екатеринбург,0,1,7435,98,21,132,76
1107820,"Практическое занятие ""Эволюция и сравнительная анатомия скелета позвоночных животных. Часть 2""",https://arhe-events.timepad.ru/event/1107820/,2019-11-06T19:30:00+0300,2019,11,2,16,autumn,0,0,Наука,Другие,100,0,4010,51,38,42,37
1107831,"Вебинар ""Как купить квартиру в Москве в рассрочку""",https://ip-sidorin-artem-igorevic.timepad.ru/event/1107831/,2019-11-05T20:00:00+0300,2019,11,1,17,autumn,0,0,Другие события,Другие,300,0,3719,25,19,21,18
1107832,"Вебинар ""Деньги. Как сохранить и преумножить""",https://ip-sidorin-artem-igorevic.timepad.ru/event/1107832/,2019-11-04T20:00:00+0300,2019,11,0,17,autumn,0,1,Другие события,Санкт-Петербург,500,0,3778,23,19,23,19
1107848,Технофабрика. 6 ноября,https://tekhnofabrika.timepad.ru/event/1107848/,2019-11-06T18:00:00+0300,2019,11,2,15,autumn,0,0,Другие развлечения,Другие,0,1,6895,40,24,54,34
1107856,Технофабрика. 7 ноября,https://tekhnofabrika.timepad.ru/event/1107856/,2019-11-07T18:00:00+0300,2019,11,3,15,autumn,0,0,Другие развлечения,Москва,1000,0,10945,95,17,71,61
1107860,Borodach Academy,https://borodach-academy.timepad.ru/event/1107860/,2019-11-05T00:00:00+0300,2019,11,0,21,autumn,0,1,Другие события,Москва,450,0,5307,39,17,35,29
1107866,Технофабрика. 8 ноября,https://tekhnofabrika.timepad.ru/event/1107866/,2019-11-08T18:00:00+0300,2019,11,4,15,autumn,0,0,Другие развлечения,Москва,0,1,8193,117,11,130,86
1107870,"Лекция ""Ордовикский период""",https://arhe-events.timepad.ru/event/1107870/,2019-11-08T19:30:00+0300,2019,11,4,16,autumn,0,0,Наука,Другие,0,1,11221,77,15,84,60
1107872,Нелинейная история искусства. Пейзаж,https://hermitageyouth.timepad.ru/event/1107872/,2019-11-07T19:00:00+0300,2019,11,3,16,autumn,0,0,Искусство и культура,Казань,0,1,9613,101,39,122,76
1107899,Теневой театр: мастерская от Лены Биншток,https://biblioteka-gaidara.timepad.ru/event/1107899/,2019-11-08T11:00:00+0300,2019,11,4,8,autumn,0,0,Хобби и творчество,Москва,1150,0,2926,31,25,24,21
1107916,"Дни научного кино в НИТУ ""МИСиС""",https://k3.timepad.ru/event/1107916/,2019-11-06T19:00:00+0300,2019,11,2,16,autumn,0,0,Кино,Екатеринбург,200,0,4738,65,17,49,43
1107924,"Персональная выставка Николая Лавецкого ""NATURAE IMAGO""",https://ingallery.timepad.ru/event/1107924/,2019-11-01T19:00:00+0300,2019,11,4,16,autumn,0,0,Искусство и культура,Москва,450,0,18057,174,20,156,132
1107932,Создатель бестселлеров презентует свою книжную новинку,https://tm-communication.timepad.ru/event/1107932/,2019-11-04T12:00:00+0300,2019,11,0,9,autumn,0,1,Психология и самопознание,Другие,0,1,3044,14,23,16,11
1107936,Техническая Вечеринка в Jazzberry,https://standupstd.timepad.ru/event/1107936/,2019-11-04T20:00:00+0300,2019,11,0,17,autumn,0,1,Вечеринки,Казань,750,0,8380,38,11,31,27
1108011,"50 деталей Москвы, которые вы раньше не замечали.",https://interesno1147-events.timepad.ru/event/1108011/,2019-11-06T19:00:00+0300,2019,11,2,16,autumn,0,0,Экскурсии и путешествия,Санкт-Петербург,1350,0,4796,23,18,23,20
1108021,– Почему все неудачи случаются только со мной? – А может это новые возможности?,https://orgnewacropol.timepad.ru/event/1108021/,2019-11-07T19:30:00+0300,2019,11,3,16,autumn,0,0,Психология и самопознание,Санкт-Петербург,1150,0,5763,26,38,26,22
1108065,Ecstatic Dance Moscow ★ Dj Alexey Kuzmin ★ 6 ноября 19:00 / Бесценные дары,https://ecstaticdancerussia.timepad.ru/event/1108065/,2019-11-06T19:00:00+0300,2019,11,2,16,autumn,0,0,Выставки,Омск,150,0,16158,99,67,79,68
1108102,Регистрация на 8 ноября.  Выступление в самое сердце.,https://zaryadkakrd.timepad.ru/event/1108102/,2019-11-08T18:30:00+0300,2019,11,4,15,autumn,0,0,Экскурсии и путешествия,Санкт-Петербург,1050,0,6984,35,9,33,29
1108112,"Бесплатный вебинар ""12 правил эффективного руководителя учебного центра""",https://trening-centr-beba.timepad.ru/event/1108112/,2019-11-05T12:00:00+0300,2019,11,1,9,autumn,0,0,Бизнес,Москва,3600,0,9499,44,24,37,30
1108119,Вернисаж выставки Николая Лавецкого,https://ingallery.timepad.ru/event/1108119/,2019-11-07T19:00:00+0300,2019,11,3,16,autumn,0,0,Искусство и культура,Москва,500,0,21357,117,48,109,87
1108127,Конкурс «ПРО Образование 2019». Церемония награждения,https://konkurs-pro-obrazovanie.timepad.ru/event/1108127/,2019-11-08T17:30:00+0300,2019,11,4,14,autumn,0,0,Вечеринки,Другие,700,0,7734,65,24,67,56
1108173,"Новые медиа: производство, монетизация, дистрибьюция",https://cinepromo.timepad.ru/event/1108173/,2019-11-06T15:45:00+0300,2019,11,2,12,autumn,0,0,Кино,Другие,150,0,7237,35,14,32,27
1108208,"Бизнес-завтрак ""Управление. Рутина и творчество.""",https://icpcentre-org.timepad.ru/event/1108208/,2019-11-06T10:00:00+0300,2019,11,2,7,autumn,0,0,Бизнес,Другие,1750,0,2884,20,20,17,15
1108450,Декор цветочных горшочков и посадка растений,https://berry-town.timepad.ru/event/1108450/,2019-11-04T17:00:00+0300,2019,11,0,14,autumn,0,1,Для детей,Москва,600,0,5656,25,53,22,21
1108452,Молочный монстр-шейк,https://berry-town.timepad.ru/event/1108452/,2019-11-04T17:30:00+0300,2019,11,0,14,autumn,0,1,Для детей,Другие,0,1,2650,19,15,24,14
1108550,Esther Titilayo Akinlabi (University of Johannesburg).  “Additive Manufacturing Technology: Laser Material Processing and Functionally Graded Materials”,https://lab-mtp-ipmnet.timepad.ru/event/1108550/,2019-11-06T16:00:00+0300,2019,11,2,13,autumn,0,0,Наука,Другие,100,0,3742,51,22,44,38
1108556,"Разговор про отношения или ""Как быть вместе всегда""",https://boroaleksandr.timepad.ru/event/1108556/,2019-11-07T19:30:00+0300,2019,11,3,16,autumn,0,0,Психология и самопознание,Другие,0,1,2640,31,20,36,24
1108590,Отборочный концерт Старого Нового Рока 2020,https://pclad.timepad.ru/event/1108590/,2019-11-05T19:00:00+0300,2019,11,1,16,autumn,0,0,Концерты,Казань,0,1,15657,160,56,185,126
1108631,"Бизнес завтрак, Москва-сити, 6 ноября 2019",https://xshagov.timepad.ru/event/1108631/,2019-11-06T09:00:00+0300,2019,11,2,6,autumn,0,0,Бизнес,Москва,0,1,5700,58,36,68,47
1108686,Фотовыставка «Антонио Гальвес. Мои головастые друзья» в Институте Сервантеса,https://cervantes.timepad.ru/event/1108686/,2019-11-06T19:00:00+0300,2019,11,2,16,autumn,0,0,Выставки,Москва,0,1,28214,236,52,329,188
1108725,Профессия «Трансперсональный аналитик»,https://deir63.timepad.ru/event/1108725/,2019-11-05T19:00:00+0300,2019,11,1,16,autumn,0,0,Психология и самопознание,Другие,0,1,2261,27,33,32,19
1108795,"Мастер-класс от театра ""Сова"" №1",https://teatr-sova.timepad.ru/event/1108795/,2019-11-06T19:00:00+0300,2019,11,2,16,autumn,0,0,Театры,Казань,950,0,16795,94,57,74,62
1109078,"Дискотека ""СОЮЗ"". Легенды 80-90х",https://mgmoo-soyuz-molodyh-metal.timepad.ru/event/1109078/,2019-11-05T11:30:00+0300,2019,11,1,8,autumn,0,0,Концерты,Москва,1500,0,25730,202,28,172,145
1109108,Directory Websites is One of the Best Ways to Make Money Online,https://mpsltd.timepad.ru/event/1109108/,2019-11-05T00:00:00+0300,2019,11,0,21,autumn,0,1,ИТ и интернет,Санкт-Петербург,0,1,6215,42,37,61,37
1109140,"Финал Юбилейного конкурса для молодых специалистов с инвалидностью ""Путь к карьере-2019"" в Новосибирске.",https://rooi-perspek-org.timepad.ru/event/1109140/,2019-10-21T10:00:00+0300,2019,10,0,7,autumn,0,0,Бизнес,Новосибирск,2400,0,5884,23,17,21,17
1109455,«Искусство делового подарка»,https://art4you.timepad.ru/event/1109455/,2019-11-01T12:00:00+0300,2019,11,4,9,autumn,0,0,Искусство и культура,Москва,0,1,19935,161,25,156,112
1110032,Луганск - Москва,https://lug-bilet.timepad.ru/event/1110032/,2019-11-01T10:30:00+0300,2019,11,4,7,autumn,0,0,Другие события,Другие,0,1,3259,45,48,45,29
1110078,Бесплатная процедура: ванночка с ортопедической солью для ног в Центре Восстановления Здоровья Марии Питерской,https://besthappyfeet.timepad.ru/event/1110078/,2019-11-06T19:00:00+0300,2019,11,2,16,autumn,0,0,Красота и здоровье,Другие,0,1,4272,32,17,40,27
1110272,СПОРТ КАК ИСТОЧНИК ЭНЕРГИИ,https://akademiya-bega-elzy-kiree.timepad.ru/event/1110272/,2019-11-24T19:30:00+0300,2019,11,6,16,autumn,1,0,Спорт,Другие,0,1,10056,74,11,87,58
1110364,Творческий конкурс «Напиши письмо Деду Морозу!»,https://francotheque-events.timepad.ru/event/1110364/,2019-11-06T00:00:00+0300,2019,11,1,21,autumn,0,0,Для детей,Санкт-Петербург,650,0,2763,40,24,37,32
1110445,30 комнат,https://tvorcheskiy-klaster-artmu.timepad.ru/event/1110445/,2019-11-02T11:00:00+0300,2019,11,5,8,autumn,1,0,Выставки,Омск,0,1,25229,142,120,210,119
